"시군구별(1)",시군구별(2),2021. 08,2021. 08,2021. 08,2021. 08,2021. 08,2021. 08
"시군구별(1)",시군구별(2),합계 (명),세대수 (세대),내국인 (명),내국인 (명),내국인 (명),등록외국인 (명)
"시군구별(1)",시군구별(2),계,소계,계,남,여,계
"합계",소계,13890346,5793437,13530519,6810105,6720414,359827
"수원시",소계,1216781,514282,1183419,595810,587609,33362
"용인시",소계,1096046,428163,1080325,536223,544102,15721
"성남시",소계,946050,408178,931931,461612,470319,14119
"부천시",소계,911260,366147,875987,455268,420719,35273
"화성시",소계,833317,345961,809559,401353,408206,23758
"안산시",소계,701650,290808,654477,335701,318776,47173
"안양시",소계,577707,255662,554511,288302,266209,23196
"평택시",소계,554631,223543,548491,271131,277360,6140
"시흥시",소계,543001,218846,511807,267236,244571,31194
"김포시",소계,503103,199379,485221,242792,242429,17882
"광주시",소계,396838,166446,385808,197056,188752,11030
"광명시",소계,299134,120483,295335,145603,149732,3799
"군포시",소계,312526,135250,310365,155478,154887,2161
"하남시",소계,275525,112818,269752,133758,135994,5773
"오산시",소계,239154,101600,230555,119590,110965,8599
"이천시",소계,229585,101235,222883,115596,107287,6702
"안성시",소계,200435,88320,189641,97911,91730,10794
"의왕시",소계,164529,65467,163510,81300,82210,1019
"양평군",소계,122283,58589,120954,60817,60137,1329
"여주시",소계,115520,52383,112289,57131,55158,3231
"과천시",소계,69822,25706,69640,34223,35417,182
"고양시",소계,1091851,454793,1080896,528972,551924,10955
"남양주시",소계,734185,294255,727221,361913,365308,6964
"파주시",소계,486204,207632,476044,241438,234606,10160
"의정부시",소계,468070,204805,463373,228349,235024,4697
"양주시",소계,242648,101527,235828,119603,116225,6820
"구리시",소계,195022,80790,193662,96074,97588,1360
"포천시",소계,159584,72792,148296,78594,69702,11288
"동두천시",소계,96683,43867,93414,46627,46787,3269
"가평군",소계,63414,31757,62383,32137,30246,1031
"연천군",소계,43788,21953,42942,22507,20435,846
