"시군별",2021. 06,2021. 06,2021. 06,2021. 06,2021. 06,2021. 06,2021. 06,2021. 06,2021. 07,2021. 07,2021. 07,2021. 07,2021. 07,2021. 07,2021. 07,2021. 07,2021. 08,2021. 08,2021. 08,2021. 08,2021. 08,2021. 08,2021. 08,2021. 08
"시군별",계,계,계,계,여,여,여,여,계,계,계,계,여,여,여,여,계,계,계,계,여,여,여,여
"시군별",주민등록인구수,0~14세,15~64세,65세 이상,주민등록인구수,0~14세,15~64세,65세 이상,주민등록인구수,0~14세,15~64세,65세 이상,주민등록인구수,0~14세,15~64세,65세 이상,주민등록인구수,0~14세,15~64세,65세 이상,주민등록인구수,0~14세,15~64세,65세 이상
"경기도",13500688,1792031,9882811,1825846,6705600,874142,4813444,1018014,13512867,1789953,9888643,1834271,6711859,873279,4816217,1022363,13530519,1787255,9898239,1845025,6720414,872045,4820291,1028078
"수원시",1184210,151169,897684,135357,587941,73176,438240,76525,1183615,150768,896919,135928,587732,72988,437901,76843,1183419,150140,896633,136646,587609,72718,437657,77234
"성남시",931654,109346,687445,134863,470089,53373,341626,75090,931756,109319,687118,135319,470143,53375,341476,75292,931931,109156,686863,135912,470319,53306,341399,75614
"의정부시",461523,53739,336245,71539,234143,25929,167545,40669,462588,53797,336917,71874,234613,25964,167801,40848,463373,53847,337218,72308,235024,25988,167930,41106
"안양시",549903,63378,409139,77386,278046,30920,204282,42844,548960,63124,408236,77600,277604,30789,203843,42972,548491,62942,407605,77944,277360,30684,203512,43164
"부천시",810742,88135,607424,115183,408742,42876,301912,63954,810069,87795,606569,115705,408424,42710,301461,64253,809559,87468,605738,116353,408206,42551,301080,64575
"광명시",295852,37203,216363,42286,149904,18243,107723,23938,295560,37116,216023,42421,149779,18217,107566,23996,295335,37037,215676,42622,149732,18176,107453,24103
"평택시",549901,77293,404717,67891,264321,37846,187864,38611,551603,77328,406057,68218,265015,37873,188363,38779,554511,77577,408275,68659,266209,37970,189264,38975
"동두천시",93354,10256,63664,19434,46728,5053,30397,11278,93447,10253,63689,19505,46772,5059,30412,11301,93414,10208,63635,19571,46787,5037,30406,11344
"안산시",655115,71990,509000,74125,319064,35095,242464,41505,654678,71780,508384,74514,318928,34981,242231,41716,654477,71457,508046,74974,318776,34805,242027,41944
"고양시",1080507,130532,800164,149811,551583,63843,402096,85644,1081045,130277,800284,150484,551910,63709,402237,85964,1080896,129773,799695,151428,551924,63475,401975,86474
"과천시",69276,9288,50246,9742,35240,4468,25284,5488,69509,9374,50345,9790,35358,4517,25333,5508,69640,9387,50400,9853,35417,4528,25352,5537
"구리시",194389,23127,143909,27353,97932,11218,71571,15143,193954,23035,143511,27408,97727,11181,71394,15152,193662,22936,143202,27524,97588,11143,71243,15202
"남양주시",724183,104612,515298,104273,363710,50807,254849,58054,725031,104395,515856,104780,364228,50711,255191,58326,727221,104486,517133,105602,365308,50752,255789,58767
"오산시",230705,36083,171713,22909,111144,17627,80653,12864,230657,35940,171714,23003,111069,17537,80626,12906,230555,35725,171680,23150,110965,17435,80540,12990
"시흥시",511314,74658,387579,49077,244236,36681,180362,27193,511747,74631,387778,49338,244561,36702,180528,27331,511807,74433,387690,49684,244571,36611,180424,27536
"군포시",270584,32064,201156,37364,136417,15562,99912,20943,270293,31941,200834,37518,136294,15518,99756,21020,269752,31692,200369,37691,135994,15397,99495,21102
"의왕시",162215,19666,119755,22794,81548,9502,59577,12469,162925,19740,120217,22968,81916,9541,59805,12570,163510,19736,120632,23142,82210,9547,60017,12646
"하남시",305908,45697,220830,39381,152481,22370,108981,21130,308390,46335,222270,39785,153816,22721,109743,21352,310365,46700,223523,40142,154887,22924,110409,21554
"용인시",1077826,160199,770888,146739,542880,78291,382779,81810,1079049,159823,771882,147344,543528,78133,383253,82142,1080325,159430,772837,148058,544102,77933,383627,82542
"파주시",472260,69478,336169,66613,232806,34030,160946,37830,473673,69512,337266,66895,233367,34048,161358,37961,476044,69691,339001,67352,234606,34151,162226,38229
"이천시",220904,29282,159582,32040,106433,14139,74648,17646,221697,29293,160205,32199,106784,14160,74902,17722,222883,29281,161227,32375,107287,14160,75326,17801
"안성시",189060,22596,132665,33799,91499,10975,61594,18930,189298,22552,132832,33914,91599,10941,61666,18992,189641,22475,133107,34059,91730,10911,61765,19054
"김포시",483642,82649,340486,60507,241506,40478,167587,33441,484481,82609,340998,60874,241988,40447,167896,33645,485221,82547,341417,61257,242429,40418,168169,33842
"화성시",870361,158043,632951,79367,418098,77362,297279,43457,872537,158025,634642,79870,419042,77362,297969,43711,875987,158231,637373,80383,420719,77469,299260,43990
"광주시",384714,51512,279993,53209,188126,25175,134574,28377,385000,51378,280057,53565,188340,25109,134654,28577,385808,51233,280592,53983,188752,25024,134928,28800
"양주시",235394,32584,165004,37806,115983,16041,79135,20807,235495,32522,164985,37988,116084,16023,79165,20896,235828,32480,165129,38219,116225,16004,79191,21030
"포천시",147597,13898,103612,30087,69397,6687,46441,16269,147855,13821,103795,30239,69504,6638,46547,16319,148296,13792,104065,30439,69702,6628,46653,16421
"여주시",112177,11809,75228,25140,55127,5695,35762,13670,112203,11741,75241,25221,55127,5662,35752,13713,112289,11697,75202,25390,55158,5644,35722,13792
"연천군",43042,4130,27293,11619,20505,2033,11992,6480,42985,4102,27239,11644,20467,2017,11954,6496,42942,4094,27174,11674,20435,2010,11910,6515
"가평군",62364,5436,40250,16678,30218,2702,18520,8996,62348,5438,40177,16733,30234,2700,18511,9023,62383,5398,40150,16835,30246,2687,18487,9072
"양평군",120012,12179,76359,31474,59753,5945,36849,16959,120419,12189,76603,31627,59906,5946,36923,17037,120954,12206,76952,31796,60137,5959,37055,17123
